rat99_p5_f90_lM     	  180	 1320	    5	   98	  474	   5946.0	   5946.0	CTSP_1         	H CTSP1        	  248.6820	  5968.000	  1202.000	    1	
kroA100_p3_f50_lH   	 3411	18763	    3	   99	  175	  50560.0	  50414.0	CTSP_1         	H CTSP1        	  257.9740	 51531.000	 17641.000	    1	
kroA100_p3_f50_lL   	 1705	18763	    3	   99	  175	  50560.0	  50560.0	CTSP_1         	H CTSP1        	  259.0230	 51531.000	 17641.000	    1	
kroA100_p3_f50_lM   	 2558	18763	    3	   99	  175	  50560.0	  50552.0	CTSP_1         	H CTSP1        	  258.6080	 51531.000	 17641.000	    1	
kroA100_p3_f70_lH   	 3706	20384	    3	   99	  207	  54326.0	  54326.0	CTSP_1         	H CTSP1        	  258.7610	 55724.000	 19203.000	    1	
kroA100_p3_f70_lL   	 1853	20384	    3	   99	  207	  54326.0	  54326.0	CTSP_1         	H CTSP1        	  257.9590	 55912.000	 19220.000	    1	
kroA100_p3_f70_lM   	 2779	20384	    3	   99	  207	  54326.0	  54326.0	CTSP_1         	H CTSP1        	  259.2150	 55724.000	 19203.000	    1	
kroA100_p3_f90_lH   	 4206	23135	    3	   99	  279	  61840.0	  61835.0	CTSP_1         	H CTSP1        	  259.1510	 62159.000	 21138.000	    1	
kroA100_p3_f90_lL   	 2103	23135	    3	   99	  279	  61840.0	  61840.0	CTSP_1         	H CTSP1        	  259.2040	 62159.000	 21138.000	    1	
kroA100_p3_f90_lM   	 3154	23135	    3	   99	  279	  61840.0	  61835.0	CTSP_1         	H CTSP1        	  259.3040	 62159.000	 21138.000	    1	
kroA100_p5_f50_lH   	 3280	18041	    5	   99	  256	  80966.0	  80924.0	CTSP_1         	H CTSP1        	  258.6620	 82668.000	 16954.000	    1	
kroA100_p5_f50_lL   	 1640	18041	    5	   99	  256	  80972.0	  80971.0	CTSP_1         	H CTSP1        	  257.6610	 83238.000	 16785.000	    1	
kroA100_p5_f50_lM   	 2460	18041	    5	   99	  256	  80971.0	  80966.0	CTSP_1         	H CTSP1        	  259.6840	 82668.000	 16954.000	    1	
kroA100_p5_f70_lH   	 3775	20764	    5	   99	  347	  91144.0	  91144.0	CTSP_1         	H CTSP1        	  258.4330	 92534.000	 19157.000	    1	
kroA100_p5_f70_lL   	 1887	20764	    5	   99	  347	  91340.0	  91161.0	CTSP_1         	H CTSP1        	  259.5190	 92534.000	 19157.000	    1	
kroA100_p5_f70_lM   	 2831	20764	    5	   99	  347	  91340.0	  91161.0	CTSP_1         	H CTSP1        	  258.7700	 92534.000	 19157.000	    1	
kroA100_p5_f90_lH   	 4134	22740	    5	   99	  453	 101516.0	 101516.0	CTSP_1         	H CTSP1        	  258.5840	102553.000	 20928.000	    1	
kroA100_p5_f90_lL   	 2067	22740	    5	   99	  453	 101638.0	 101581.0	CTSP_1         	H CTSP1        	  258.9760	102553.000	 20928.000	    1	
kroA100_p5_f90_lM   	 3100	22740	    5	   99	  453	 101581.0	 101516.0	CTSP_1         	H CTSP1        	  258.5000	102553.000	 20928.000	    1	
kroB100_p3_f50_lH   	 3693	20312	    3	   99	  175	  53187.0	  53187.0	CTSP_1         	H CTSP1        	  257.8840	 56760.000	 19751.000	    1	
kroB100_p3_f50_lL   	 1846	20312	    3	   99	  175	  53368.0	  53187.0	CTSP_1         	H CTSP1        	  257.8900	 56760.000	 19751.000	    1	
kroB100_p3_f50_lM   	 2769	20312	    3	   99	  175	  53187.0	  53187.0	CTSP_1         	H CTSP1        	  257.7220	 56760.000	 19751.000	    1	
kroB100_p3_f70_lH   	 3849	21173	    3	   99	  207	  55951.0	  55951.0	CTSP_1         	H CTSP1        	  258.5320	 57373.000	 19962.000	    1	
